Date;4151 - Federal domestic securities (balances) - National Treasury liabilities - Portfolio position - Total issued - c.m.u. (million)
02/1991;24,147,477.78
03/1991;26,838,790.45
04/1991;28,797,354.19
05/1991;31,563,973.77
06/1991;34,517,322.20
07/1991;36,316,892.55
08/1991;40,892,426.36
09/1991;46,523,408.72
10/1991;54,869,855.50
11/1991;71,535,830.67
12/1991;93,054,805.86
01/1992;119,375,227.45
02/1992;154,984,906.75
03/1992;195,723,349.60
04/1992;257,038,652.52
05/1992;318,807,235.34
06/1992;387,221,578.60
07/1992;495,285,227.93
08/1992;622,093,989.62
09/1992;775,145,351.14
10/1992;1,005,998,164.68
11/1992;1,213,222,942.71
12/1992;1,477,430,749.59
01/1993;1,829,571,846.40
02/1993;2,390,734,177.40
03/1993;3,018,937,687.48
04/1993;3,889,241,036.93
05/1993;4,993,263,932.68
06/1993;6,516,860,450.63
07/1993;8,578,952,625.65
08/1993;10,543,255.61
09/1993;15,676,737.13
10/1993;20,128,202.21
11/1993;28,295,330.78
12/1993;38,394,910.60
01/1994;57,310,902.81
02/1994;81,665,153.31
03/1994;120,319,378.98
04/1994;132,275,807.98
05/1994;187,653,275.96
06/1994;260,921,271.49
07/1994;94,491.79
08/1994;94,646.77
09/1994;103,020.46
10/1994;105,261.42
11/1994;108,756.95
12/1994;100,044.24
01/1995;102,520.03
02/1995;105,178.93
03/1995;106,331.30
04/1995;107,314.26
05/1995;111,508.97
06/1995;114,825.54
07/1995;125,782.54
08/1995;116,787.37
09/1995;122,868.10
10/1995;126,500.66
11/1995;134,307.91
12/1995;133,929.80
01/1996;142,705.52
02/1996;152,351.11
03/1996;157,431.96
04/1996;161,399.92
05/1996;175,136.36
06/1996;178,104.37
07/1996;184,241.06
08/1996;188,320.85
09/1996;188,578.99
10/1996;194,256.82
11/1996;205,326.62
12/1996;207,122.42
01/1997;206,137.44
02/1997;206,968.55
03/1997;212,720.41
04/1997;214,321.05
05/1997;215,384.91
06/1997;219,557.14
07/1997;221,802.85
08/1997;227,024.26
09/1997;237,344.30
10/1997;242,967.06
11/1997;240,538.63
12/1997;307,723.86
01/1998;358,184.84
02/1998;360,014.65
03/1998;379,503.26
04/1998;388,772.69
05/1998;384,616.37
06/1998;407,762.12
07/1998;411,381.19
08/1998;416,802.95
09/1998;415,012.20
10/1998;422,785.53
11/1998;449,048.38
12/1998;475,602.58
01/1999;509,708.45
02/1999;524,143.80
03/1999;529,053.41
04/1999;532,156.78
05/1999;473,086.44
06/1999;489,569.94
07/1999;490,676.13
08/1999;509,540.93
09/1999;512,308.28
10/1999;517,386.95
11/1999;521,530.21
12/1999;508,733.69
01/2000;516,533.43
02/2000;518,095.21
03/2000;528,168.35
04/2000;531,818.92
05/2000;515,467.85
06/2000;527,533.61
07/2000;544,270.40
08/2000;547,987.82
09/2000;554,100.89
10/2000;553,717.57
11/2000;549,057.54
12/2000;555,912.50
01/2001;563,192.37
02/2001;564,886.86
03/2001;577,788.27
04/2001;582,725.24
05/2001;584,475.42
06/2001;613,655.32
07/2001;626,690.46
08/2001;630,385.57
09/2001;647,890.56
10/2001;672,349.47
11/2001;675,976.64
12/2001;687,328.70
01/2002;699,812.73
02/2002;707,302.00
03/2002;708,651.06
04/2002;726,481.82
05/2002;740,721.38
06/2002;758,693.06
07/2002;815,083.80
08/2002;798,035.70
09/2002;841,033.01
10/2002;822,704.30
11/2002;834,452.75
12/2002;838,795.61
01/2003;871,890.25
02/2003;888,243.88
03/2003;897,663.33
04/2003;895,570.44
05/2003;919,106.91
06/2003;931,389.11
07/2003;956,382.99
08/2003;965,698.04
09/2003;987,096.19
10/2003;995,698.93
11/2003;1,001,705.24
12/2003;978,104.22
01/2004;985,463.41
02/2004;997,279.08
03/2004;1,021,157.37
04/2004;1,026,218.63
05/2004;1,014,637.13
06/2004;1,034,901.51
07/2004;1,035,759.32
08/2004;1,043,310.68
09/2004;1,054,818.50
10/2004;1,061,710.20
11/2004;1,070,136.94
12/2004;1,099,535.01
01/2005;1,114,279.34
02/2005;1,126,768.98
03/2005;1,156,104.92
04/2005;1,156,882.11
05/2005;1,176,549.99
06/2005;1,197,913.07
07/2005;1,208,259.45
08/2005;1,216,024.30
09/2005;1,233,065.10
10/2005;1,237,717.55
11/2005;1,265,184.38
12/2005;1,252,509.94
01/2006;1,272,728.06
02/2006;1,300,795.91
03/2006;1,315,713.08
04/2006;1,284,419.16
05/2006;1,260,736.75
06/2006;1,306,108.72
07/2006;1,294,866.75
08/2006;1,315,120.29
09/2006;1,350,119.06
10/2006;1,353,231.67
11/2006;1,374,436.89
12/2006;1,390,693.79
01/2007;1,386,533.66
02/2007;1,429,641.21
03/2007;1,448,449.18
04/2007;1,450,545.39
05/2007;1,486,435.24
06/2007;1,511,684.71
07/2007;1,481,498.16
08/2007;1,504,858.81
09/2007;1,519,098.84
10/2007;1,550,744.15
11/2007;1,573,550.11
12/2007;1,583,871.44
01/2008;1,558,212.25
02/2008;1,598,385.45
03/2008;1,613,025.75
04/2008;1,580,966.71
05/2008;1,606,952.66
06/2008;1,670,954.51
07/2008;1,602,986.69
08/2008;1,625,551.92
09/2008;1,631,049.77
10/2008;1,636,421.33
11/2008;1,656,399.45
12/2008;1,759,134.19
01/2009;1,683,463.31
02/2009;1,712,915.06
03/2009;1,749,905.91
04/2009;1,736,030.29
05/2009;1,749,820.45
06/2009;1,821,521.72
07/2009;1,840,686.94
08/2009;1,895,074.71
09/2009;1,916,091.75
10/2009;1,918,271.77
11/2009;1,938,975.90
12/2009;2,036,230.54
01/2010;1,956,453.82
02/2010;2,001,401.86
03/2010;2,065,658.15
04/2010;2,154,104.64
05/2010;2,192,997.27
06/2010;2,196,135.86
07/2010;2,186,345.02
08/2010;2,193,569.88
09/2010;2,219,303.09
10/2010;2,243,795.56
11/2010;2,269,739.57
12/2010;2,307,143.00
01/2011;2,241,465.31
02/2011;2,290,496.39
03/2011;2,317,877.92
04/2011;2,371,920.64
05/2011;2,382,416.09
06/2011;2,443,106.82
07/2011;2,360,979.63
08/2011;2,404,276.39
09/2011;2,447,109.13
10/2011;2,472,080.44
11/2011;2,501,674.50
12/2011;2,534,897.81
01/2012;2,515,660.60
02/2012;2,614,478.42
03/2012;2,583,471.48
04/2012;2,637,606.46
05/2012;2,681,915.20
06/2012;2,739,309.96
07/2012;2,629,595.81
08/2012;2,637,403.80
09/2012;2,682,532.79
10/2012;2,718,147.45
11/2012;2,758,596.74
12/2012;2,823,336.28
01/2013;2,730,962.19
02/2013;2,759,476.95
03/2013;2,771,928.78
04/2013;2,778,446.22
05/2013;2,763,430.05
06/2013;2,814,320.44
07/2013;2,779,020.44
08/2013;2,810,927.72
09/2013;2,827,905.83
10/2013;2,871,935.06
11/2013;2,922,448.47
12/2013;2,986,224.21
01/2014;2,907,992.38
02/2014;2,944,628.59
03/2014;2,968,764.61
04/2014;2,946,054.33
05/2014;3,021,664.01
06/2014;3,111,712.08
07/2014;3,052,874.18
08/2014;3,067,126.60
09/2014;3,071,158.80
10/2014;3,052,957.39
11/2014;3,136,983.09
12/2014;3,301,051.28
01/2015;3,204,001.86
02/2015;3,298,151.23
03/2015;3,441,395.66
04/2015;3,451,710.08
05/2015;3,484,067.65
06/2015;3,585,829.91
07/2015;3,586,722.02
08/2015;3,691,613.29
09/2015;3,802,662.72
10/2015;3,712,378.65
11/2015;3,794,401.22
12/2015;3,936,680.80
01/2016;3,873,237.11
02/2016;3,952,682.57
03/2016;4,042,856.31
04/2016;3,967,753.97
05/2016;4,048,689.70
06/2016;4,157,399.73
07/2016;4,151,057.69
08/2016;4,129,135.39
09/2016;4,258,862.67
10/2016;4,255,200.29
11/2016;4,312,217.84
12/2016;4,509,262.41
01/2017;4,510,876.06
02/2017;4,616,502.39
03/2017;4,726,683.39
04/2017;4,749,125.10
05/2017;4,728,247.39
06/2017;4,835,375.81
07/2017;4,791,611.27
08/2017;4,918,862.26
09/2017;4,962,417.98
10/2017;4,950,443.95
11/2017;5,017,785.51
12/2017;5,094,970.67
01/2018;5,075,780.97
02/2018;5,130,850.09
03/2018;5,230,541.85
04/2018;5,264,756.68
05/2018;5,327,222.22
06/2018;5,376,889.79
07/2018;5,361,650.26
08/2018;5,375,840.88
09/2018;5,410,342.15
10/2018;5,385,115.16
11/2018;5,452,979.39
12/2018;5,523,152.99
01/2019;5,465,306.09
02/2019;5,552,963.80
03/2019;5,583,309.44
04/2019;5,567,689.41
05/2019;5,550,477.47
06/2019;5,653,213.26
07/2019;5,635,436.48
08/2019;5,721,893.74
09/2019;5,812,839.73
10/2019;5,773,661.47
11/2019;5,887,136.09
12/2019;5,971,964.07
01/2020;5,948,372.87
02/2020;6,001,565.74
03/2020;5,863,787.07
04/2020;5,864,573.46
05/2020;5,955,202.98
06/2020;6,082,289.02
07/2020;5,996,014.82
08/2020;6,041,006.83
09/2020;6,150,672.46
10/2020;6,293,106.91
11/2020;6,464,359.86
12/2020;6,691,968.61
01/2021;6,709,482.27
02/2021;6,871,724.61
03/2021;6,923,713.31
04/2021;6,814,016.58
05/2021;6,907,904.41
06/2021;7,083,888.15
07/2021;7,117,953.97
08/2021;7,207,457.09
09/2021;7,161,594.88
10/2021;7,102,420.63
11/2021;7,238,988.95
12/2021;7,378,360.95
01/2022;7,389,427.40
02/2022;7,520,603.00
03/2022;7,392,957.73
04/2022;7,433,864.68
05/2022;7,561,803.71
06/2022;7,700,157.87
07/2022;7,657,577.81
08/2022;7,627,153.52
09/2022;7,540,273.57
10/2022;7,600,260.99
11/2022;7,742,549.32
12/2022;7,854,469.93
01/2023;7,690,510.83
02/2023;7,799,248.70
03/2023;7,864,403.53
Source;BCB-DSTAT
